"claim_id","orig_conv_r","orig_sample_size_value","orig_stat_type","orig_stat_value","orig_stat_dof_1","paper_id","repli_type","repli_sample_size_value","repli_conv_r","repli_score_criteria_met","t_from_stat","t_from_r","t_orig","abs_t","t_source","discipline","safeguard_defined","markup_approx","r_sg","N_naive","N_safeguard","markup","ratio_obs_safeguard"
"yAPR_single-trace",0.0269841126359832,3617,"t",2.87874921313467,11373,"yAPR","secondary data",8227,0.0088058291002208,FALSE,2.87874921313467,1.62300726373444,2.87874921313467,2.87874921313467,"direct_stat","sociology and criminology",TRUE,1.99696768423385,0.0190951301362408,10777,21523,1.997123503758,0.382242252474097
"yDyG_single-trace",0.168145067828918,189,"z",2.345,NA,"yDyG","new data",855,0.0479017983359591,TRUE,2.345,2.33255959393522,2.345,2.345,"direct_stat","business",TRUE,2.43303787742186,0.107797750385261,275,673,2.44727272727273,1.2704309063893
"yJwG_single-trace",0.671596683337955,28,"t",4.71,27,"yJwG","new data",26,0.710302258443138,TRUE,4.71,4.62195485337824,4.71,4.71,"direct_stat","psychology and health",TRUE,1.48246289710228,0.551590307734055,15,23,1.53333333333333,1.1304347826087
"yQeR_single-trace",0.140452911289756,2293,"t",6.79,2291,"yQeR","secondary data",2320,0.0553096606492884,TRUE,6.79,6.79,6.79,6.79,"direct_stat","economics and finance",TRUE,1.30299370991519,0.123043757761245,395,516,1.30632911392405,4.49612403100775
"yypJ_single-trace",-0.509999968959098,138,"t",-6.88891,135,"yypJ","new data",68,0.369429744899031,FALSE,-6.88891,-6.91437740663215,-6.88891,6.88891,"direct_stat","psychology and health",TRUE,1.29771584506934,-0.447693043335523,28,37,1.32142857142857,1.83783783783784
"z4dO_single-trace",0.1647657965647,19296,"t",3.89140837028666,19284,"z4dO","secondary data",18558,0.247447947186956,TRUE,3.89140837028666,23.2035673733576,3.89140837028666,3.89140837028666,"direct_stat","political science",TRUE,1.62807557446081,0.129130782256194,286,468,1.63636363636364,39.6538461538462
"zK2_single-trace",0.219418282462816,1607,"t",9.01,1605,"zK2","new data",372,0.250162570282519,TRUE,9.01,9.01,9.01,9.01,"direct_stat","psychology and health",TRUE,1.21668413904604,0.198922490503348,160,196,1.225,1.89795918367347
"zN22_single-trace",0.331241430782435,40,"F",4.56,1,"zN22","new data",158,0.0894463682127018,FALSE,2.13541565040626,2.1640802303157,2.13541565040626,2.13541565040626,"direct_stat","psychology and health",TRUE,2.72417057309727,0.200690818056275,69,192,2.78260869565217,0.822916666666667
"zNEm_single-trace",0.611432785788395,27,"t",3.94,26,"zNEm","new data",78,0.111403894867992,FALSE,3.94,3.86348786222223,3.94,3.94,"direct_stat","psychology and health",TRUE,1.61704992368636,0.48082496461526,18,31,1.72222222222222,2.51612903225806
"zb3Y_b66y26",0.0457374490003292,236,"t",3.84,NA,"zb3Y","secondary data",222,0.0480579857534412,TRUE,3.84,0.700381387282092,3.84,3.84,"direct_stat","education",TRUE,1.64017225588151,0.0357130718523773,3749,6151,1.64070418778341,0.0360916924077386
"zb3Y_bqw6wo",0.0619581037091928,236,"t",5.47,NA,"zb3Y","secondary data",222,0.0717821709078906,TRUE,5.47,0.949601159704642,5.47,5.47,"direct_stat","education",TRUE,1.39674417113988,0.0524251502039699,2042,2853,1.39715964740451,0.0778128286014721
"zb3Y_bzyz9k",0.123059523156735,236,"t",10.4,NA,"zb3Y","secondary data",222,0.205231339076317,TRUE,10.4,1.89686625722233,10.4,10.4,"direct_stat","education",TRUE,1.18385416465792,0.113100916648844,516,611,1.18410852713178,0.363338788870704
"zb3Y_gl7j22",0.115357371662951,236,"t",9.74,NA,"zb3Y","secondary data",222,0.192273419032331,TRUE,9.74,1.77648820628322,9.74,9.74,"direct_stat","education",TRUE,1.19810846880803,0.105389485272735,587,704,1.19931856899489,0.315340909090909
"zb3Y_m3dy4j",0.206215654174573,236,"t",18.57,NA,"zb3Y","secondary data",222,0.397095640944263,TRUE,18.57,3.22378309610881,18.57,18.57,"direct_stat","education",TRUE,1.09719991124219,0.196869640537069,182,200,1.0989010989011,1.11
"zb3Y_mp3lzw",0.04636624837803,236,"t",4.09,NA,"zb3Y","secondary data",222,0.0667573692231553,TRUE,4.09,0.710030848846798,4.09,4.09,"direct_stat","education",TRUE,1.58530668155109,0.0368252167995298,3648,5785,1.58580043859649,0.0383751080380294
"zb3Y_mw9jx3",0.343980878559509,236,"t",32.28,NA,"zb3Y","secondary data",222,0.398716077002878,TRUE,32.28,5.60386205397913,32.28,32.28,"direct_stat","education",TRUE,1.05425766716935,0.335012427154963,64,67,1.046875,3.3134328358209
