"rho","median_N","selected","rep","retained","solver_excluded"
0.1,100,TRUE,71,38,0
0.1,100,TRUE,72,48,0
0.1,100,TRUE,73,41,0
0.1,100,TRUE,74,40,0
0.1,100,TRUE,75,43,0
0.1,100,TRUE,76,51,0
0.1,100,TRUE,77,41,0
0.1,100,TRUE,78,44,0
0.1,100,TRUE,79,40,0
0.1,100,TRUE,80,50,0
0.1,100,TRUE,81,40,0
0.1,100,TRUE,82,40,0
0.1,100,TRUE,83,49,0
0.1,100,TRUE,84,45,0
0.1,100,TRUE,85,50,0
0.1,100,TRUE,86,42,0
0.1,100,TRUE,87,32,0
0.1,100,TRUE,88,34,0
0.1,100,TRUE,89,34,0
0.1,100,TRUE,90,41,0
0.1,100,TRUE,91,40,0
0.1,100,TRUE,92,48,0
0.1,100,TRUE,93,46,0
0.1,100,TRUE,94,50,0
0.1,100,TRUE,95,51,0
0.1,100,TRUE,96,42,0
0.1,100,TRUE,97,30,0
0.1,100,TRUE,98,44,0
0.1,100,TRUE,99,39,0
0.1,100,TRUE,100,38,0
0.3,100,TRUE,1,169,0
0.3,100,TRUE,2,156,0
0.3,100,TRUE,3,162,0
0.3,100,TRUE,4,170,0
0.3,100,TRUE,5,151,0
0.3,100,TRUE,6,166,0
0.3,100,TRUE,7,168,0
0.3,100,TRUE,8,155,0
0.3,100,TRUE,9,157,0
0.3,100,TRUE,10,165,0
0.3,100,TRUE,11,158,0
0.3,100,TRUE,12,156,0
0.3,100,TRUE,13,164,0
0.3,100,TRUE,14,158,0
0.3,100,TRUE,15,150,0
0.3,100,TRUE,16,154,0
0.3,100,TRUE,17,164,0
0.3,100,TRUE,18,158,0
0.3,100,TRUE,19,165,0
0.3,100,TRUE,20,164,0
0.3,100,TRUE,21,162,0
0.3,100,TRUE,22,165,0
0.3,100,TRUE,23,159,0
0.3,100,TRUE,24,164,0
0.3,100,TRUE,25,162,0
0.3,100,TRUE,26,166,0
0.3,100,TRUE,27,163,0
0.3,100,TRUE,28,153,0
0.3,100,TRUE,29,149,0
0.3,100,TRUE,30,165,0
0.3,100,TRUE,31,162,0
0.3,100,TRUE,32,169,0
0.3,100,TRUE,33,158,0
0.3,100,TRUE,34,166,0
0.3,100,TRUE,35,167,0
0.3,100,TRUE,36,162,0
0.3,100,TRUE,37,172,0
0.3,100,TRUE,38,161,0
0.3,100,TRUE,39,158,0
0.3,100,TRUE,40,162,0
0.3,100,TRUE,41,165,0
0.3,100,TRUE,42,164,0
0.3,100,TRUE,43,163,0
0.3,100,TRUE,44,157,0
0.3,100,TRUE,45,164,0
0.3,100,TRUE,46,161,0
0.3,100,TRUE,47,155,0
0.3,100,TRUE,48,151,0
0.3,100,TRUE,49,150,0
0.3,100,TRUE,50,166,0
0.3,100,TRUE,51,166,0
0.3,100,TRUE,52,157,0
0.3,100,TRUE,53,151,0
0.3,100,TRUE,54,154,0
0.3,100,TRUE,55,153,0
0.3,100,TRUE,56,163,0
0.3,100,TRUE,57,161,0
0.3,100,TRUE,58,160,0
0.3,100,TRUE,59,158,0
0.3,100,TRUE,60,164,0
0.3,100,TRUE,61,154,0
0.3,100,TRUE,62,158,0
0.3,100,TRUE,63,160,0
0.3,100,TRUE,64,162,0
0.3,100,TRUE,65,166,0
0.3,100,TRUE,66,164,0
0.3,100,TRUE,67,165,0
0.3,100,TRUE,68,157,0
0.3,100,TRUE,69,152,0
0.3,100,TRUE,70,166,0
0.3,100,TRUE,71,155,0
0.3,100,TRUE,72,162,0
0.3,100,TRUE,73,153,0
0.3,100,TRUE,74,157,0
0.3,100,TRUE,75,160,0
0.3,100,TRUE,76,158,0
0.3,100,TRUE,77,162,0
0.3,100,TRUE,78,164,0
0.3,100,TRUE,79,163,0
0.3,100,TRUE,80,157,0
0.3,100,TRUE,81,167,0
0.3,100,TRUE,82,166,0
0.3,100,TRUE,83,161,0
0.3,100,TRUE,84,160,0
0.3,100,TRUE,85,156,0
0.3,100,TRUE,86,158,0
0.3,100,TRUE,87,156,0
0.3,100,TRUE,88,167,0
0.3,100,TRUE,89,156,0
0.3,100,TRUE,90,171,0
0.3,100,TRUE,91,167,0
0.3,100,TRUE,92,159,0
0.3,100,TRUE,93,157,0
0.3,100,TRUE,94,167,0
0.3,100,TRUE,95,161,0
0.3,100,TRUE,96,163,0
0.3,100,TRUE,97,166,0
0.3,100,TRUE,98,156,0
0.3,100,TRUE,99,169,0
0.3,100,TRUE,100,161,0
0.1,500,TRUE,1,119,0
0.1,500,TRUE,2,122,0
0.1,500,TRUE,3,115,0
0.1,500,TRUE,4,125,0
0.1,500,TRUE,5,130,0
0.1,500,TRUE,6,130,0
0.1,500,TRUE,7,127,0
0.1,500,TRUE,8,112,0
0.1,500,TRUE,9,122,0
0.1,500,TRUE,10,120,0
0.1,500,TRUE,11,131,0
0.1,500,TRUE,12,116,0
0.1,500,TRUE,13,128,0
0.1,500,TRUE,14,126,0
0.1,500,TRUE,15,131,0
0.1,500,TRUE,16,119,0
0.1,500,TRUE,17,130,0
0.1,500,TRUE,18,116,0
0.1,500,TRUE,19,129,0
0.1,500,TRUE,20,133,0
0.1,500,TRUE,21,127,0
0.1,500,TRUE,22,119,0
0.1,500,TRUE,23,126,0
0.1,500,TRUE,24,106,0
0.1,500,TRUE,25,114,0
0.1,500,TRUE,26,130,0
0.1,500,TRUE,27,124,0
0.1,500,TRUE,28,110,0
0.1,500,TRUE,29,138,0
0.1,500,TRUE,30,124,0
0.1,500,TRUE,31,128,0
0.1,500,TRUE,32,114,0
0.1,500,TRUE,33,121,0
0.1,500,TRUE,34,113,0
0.1,500,TRUE,35,115,0
0.1,500,TRUE,36,111,0
0.1,500,TRUE,37,116,0
0.1,500,TRUE,38,128,0
0.1,500,TRUE,39,128,0
0.1,500,TRUE,40,120,0
0.1,500,TRUE,41,131,0
0.1,500,TRUE,42,117,0
0.1,500,TRUE,43,127,0
0.1,500,TRUE,44,129,0
0.1,500,TRUE,45,111,0
0.1,500,TRUE,46,121,0
0.1,500,TRUE,47,119,0
0.1,500,TRUE,48,127,0
0.1,500,TRUE,49,120,0
0.1,500,TRUE,50,115,0
0.1,500,TRUE,51,127,0
0.1,500,TRUE,52,119,0
0.1,500,TRUE,53,119,0
0.1,500,TRUE,54,115,0
0.1,500,TRUE,55,116,0
0.1,500,TRUE,56,121,0
0.1,500,TRUE,57,127,0
0.1,500,TRUE,58,132,0
0.1,500,TRUE,59,123,0
0.1,500,TRUE,60,124,0
0.1,500,TRUE,61,118,0
0.1,500,TRUE,62,123,0
0.1,500,TRUE,63,119,0
0.1,500,TRUE,64,106,0
0.1,500,TRUE,65,123,0
0.1,500,TRUE,66,126,0
0.1,500,TRUE,67,118,0
0.1,500,TRUE,68,122,0
0.1,500,TRUE,69,122,0
0.1,500,TRUE,70,118,0
0.1,500,TRUE,71,125,0
0.1,500,TRUE,72,131,0
0.1,500,TRUE,73,112,0
0.1,500,TRUE,74,115,0
0.1,500,TRUE,75,128,0
0.1,500,TRUE,76,125,0
0.1,500,TRUE,77,128,0
0.1,500,TRUE,78,118,0
0.1,500,TRUE,79,109,0
0.1,500,TRUE,80,124,0
0.1,500,TRUE,81,114,0
0.1,500,TRUE,82,130,0
0.1,500,TRUE,83,119,0
0.1,500,TRUE,84,121,0
0.1,500,TRUE,85,119,0
0.1,500,TRUE,86,132,0
0.1,500,TRUE,87,116,0
0.1,500,TRUE,88,128,0
0.1,500,TRUE,89,127,0
0.1,500,TRUE,90,131,0
0.1,500,TRUE,91,128,0
0.1,500,TRUE,92,114,0
0.1,500,TRUE,93,132,0
0.1,500,TRUE,94,116,0
0.1,500,TRUE,95,126,0
0.1,500,TRUE,96,126,0
0.1,500,TRUE,97,129,0
0.1,500,TRUE,98,119,0
0.1,500,TRUE,99,129,0
0.1,500,TRUE,100,122,0
0.3,500,TRUE,1,200,0
0.3,500,TRUE,2,199,0
0.3,500,TRUE,3,199,0
0.3,500,TRUE,4,199,0
0.3,500,TRUE,5,198,0
0.3,500,TRUE,6,198,0
0.3,500,TRUE,7,199,0
0.3,500,TRUE,8,199,0
0.3,500,TRUE,9,199,0
0.3,500,TRUE,10,199,0
0.3,500,TRUE,11,199,0
0.3,500,TRUE,12,199,0
0.3,500,TRUE,13,200,0
0.3,500,TRUE,14,199,0
0.3,500,TRUE,15,199,0
0.3,500,TRUE,16,200,0
0.3,500,TRUE,17,197,0
0.3,500,TRUE,18,199,0
0.3,500,TRUE,19,199,0
0.3,500,TRUE,20,199,0
0.3,500,TRUE,21,199,0
