"rho","median_N","selected","rep","rule","n","portfolio","conditioned","condition_number","attainment","median_ratio"
0.1,100,FALSE,21,"point",126,-0.00220971569463197,0.000269189824499871,63.2082656370329,0,0.259123853093115
0.1,100,FALSE,21,"safeguard",126,0.997649146675647,1.00006856503407,63.2082656370329,0.492063492063492,0.997953075431676
0.1,100,FALSE,21,"original_size",126,-0.335768068987644,5.05338045643976e-05,63.2082656370329,0.119047619047619,0.211297518999768
0.1,100,FALSE,21,"capped_safeguard",126,-0.0191195490847837,-0.105895008048262,63.2082656370329,0.0952380952380952,0.33138251732127
0.1,100,FALSE,22,"point",129,-0.0103116956826429,-0.0211901826012068,73.0945615953197,0,0.228703703703704
0.1,100,FALSE,22,"safeguard",129,0.989644707601864,0.978801322865653,73.0945615953197,0.542635658914729,1.02322613578356
0.1,100,FALSE,22,"original_size",129,-0.236288544195174,-0.0213910091433779,73.0945615953197,0.108527131782946,0.15625
0.1,100,FALSE,22,"capped_safeguard",129,-0.0279417035342797,-0.0664933601431478,73.0945615953197,0.13953488372093,0.310366232153942
0.1,100,FALSE,23,"point",120,-0.024514558104573,-0.022404278731325,60.6820944155302,0,0.246797087729748
0.1,100,FALSE,23,"safeguard",120,0.975550341439463,0.977664762426307,60.6820944155302,0.566666666666667,1.01804210690813
0.1,100,FALSE,23,"original_size",120,-0.352581490795897,-0.0225405649060013,60.6820944155302,0.1,0.174772241782551
0.1,100,FALSE,23,"capped_safeguard",120,-0.0211053215289679,-0.105279474308787,60.6820944155302,0.15,0.40332049863424
0.1,100,FALSE,24,"point",126,0.0123906041642142,0.0226289756930828,66.8767195697874,0,0.249048857511202
0.1,100,FALSE,24,"safeguard",126,1.01249447265986,1.02246325455256,66.8767195697874,0.5,0.999420625724218
0.1,100,FALSE,24,"original_size",126,-0.382395574780775,0.0234208419923208,66.8767195697874,0.103174603174603,0.185620456214245
0.1,100,FALSE,24,"capped_safeguard",126,0.00780745525578402,-0.132442870443542,66.8767195697874,0.111111111111111,0.370147818113498
0.1,100,FALSE,25,"point",133,-0.0254707398631241,-0.0436281983835079,58.4505904982024,0,0.251523545706371
0.1,100,FALSE,25,"safeguard",133,0.974563752264793,0.956363441770886,58.4505904982024,0.458646616541353,0.987525987525988
0.1,100,FALSE,25,"original_size",133,-0.356344168997983,-0.0438337194940283,58.4505904982024,0.0977443609022556,0.180665610142631
0.1,100,FALSE,25,"capped_safeguard",133,-0.028981385930395,-0.149552422450522,58.4505904982024,0.0827067669172932,0.348432055749129
0.1,100,FALSE,26,"point",133,0.00516637141310374,0.00996301134921257,58.2594259150998,0,0.244365361803084
0.1,100,FALSE,26,"safeguard",133,1.00521735092472,1.0098734116806,58.2594259150998,0.526315789473684,1.00585994726047
0.1,100,FALSE,26,"original_size",133,-0.237958060021523,0.00989259542004736,58.2594259150998,0.0827067669172932,0.172004744958482
0.1,100,FALSE,26,"capped_safeguard",133,-0.0285932445898383,-0.093008875240265,58.2594259150998,0.120300751879699,0.364431486880466
0.1,100,FALSE,27,"point",130,-0.0100586442495987,-0.0131022974468961,55.7385924263519,0,0.215086111596078
0.1,100,FALSE,27,"safeguard",130,0.989980764808767,0.986823678225544,55.7385924263519,0.523076923076923,1.00493553345902
0.1,100,FALSE,27,"original_size",130,-0.38020979786661,-0.013389207998031,55.7385924263519,0.138461538461538,0.146689920990231
0.1,100,FALSE,27,"capped_safeguard",130,-0.0237804391750807,-0.103359635489894,55.7385924263519,0.123076923076923,0.305593110196521
0.1,100,FALSE,28,"point",120,-0.0198462226940445,-0.0112555201664689,58.5046478233966,0,0.218552788223358
0.1,100,FALSE,28,"safeguard",120,0.980228333779022,0.988717817833099,58.5046478233966,0.491666666666667,0.993736619033693
0.1,100,FALSE,28,"original_size",120,-0.411892047205789,-0.0109919800222319,58.5046478233966,0.0666666666666667,0.122026540619273
0.1,100,FALSE,28,"capped_safeguard",120,-0.0132180947833247,-0.114864874559651,58.5046478233966,0.158333333333333,0.364838560600736
0.1,100,FALSE,29,"point",122,-3.51351137144673e-05,-0.00685932220049078,57.9158803547798,0,0.220996674908347
0.1,100,FALSE,29,"safeguard",122,1.00001153402677,0.992969676375218,57.9158803547798,0.524590163934426,1.01358455068614
0.1,100,FALSE,29,"original_size",122,-0.433607409607709,-0.00696166403682834,57.9158803547798,0.10655737704918,0.146101034554499
0.1,100,FALSE,29,"capped_safeguard",122,0.0126759624266842,-0.105340449004884,57.9158803547798,0.131147540983607,0.337279215774065
0.1,100,FALSE,30,"point",137,-0.0171090676043766,-0.0153343639383969,64.0139704932243,0,0.219058686809994
0.1,100,FALSE,30,"safeguard",137,0.982995419496895,0.984985817907844,64.0139704932243,0.481751824817518,0.996450458944566
0.1,100,FALSE,30,"original_size",137,-0.351879027643166,-0.0149938585553551,64.0139704932243,0.0510948905109489,0.138582219639744
0.1,100,FALSE,30,"capped_safeguard",137,-0.0197886530652508,-0.132033510244474,64.0139704932243,0.0802919708029197,0.246791707798618
0.1,100,FALSE,31,"point",126,-0.0202844710680461,-0.0156113616146419,58.9676060801013,0,0.228237279961418
0.1,100,FALSE,31,"safeguard",126,0.979706144758091,0.984201586204465,58.9676060801013,0.412698412698413,0.953301751363767
0.1,100,FALSE,31,"original_size",126,-0.325174066543355,-0.0163245647841399,58.9676060801013,0.0793650793650794,0.162217563672327
0.1,100,FALSE,31,"capped_safeguard",126,0.0108092943898639,-0.0984752773335333,58.9676060801013,0.103174603174603,0.421058678028219
0.1,100,FALSE,32,"point",131,-0.0145905418792431,-0.00646874883079249,63.2602639462149,0,0.232539682539683
0.1,100,FALSE,32,"safeguard",131,0.98538827516631,0.993454258320178,63.2602639462149,0.480916030534351,0.992
0.1,100,FALSE,32,"original_size",131,-0.298256001280919,-0.00677582988861426,63.2602639462149,0.099236641221374,0.15952380952381
0.1,100,FALSE,32,"capped_safeguard",131,-0.0237477137376604,-0.0756169303476399,63.2602639462149,0.0916030534351145,0.276548672566372
0.1,100,FALSE,33,"point",132,0.0047529717869439,-0.00593142740549024,61.342585438504,0,0.213298298713324
0.1,100,FALSE,33,"safeguard",132,1.00477014137931,0.994145284847271,61.342585438504,0.424242424242424,0.968613115323725
0.1,100,FALSE,33,"original_size",132,-0.341145745590135,-0.00583030794751493,61.342585438504,0.0606060606060606,0.147385559814278
0.1,100,FALSE,33,"capped_safeguard",132,-0.0140028067602784,-0.137830385510148,61.342585438504,0.0606060606060606,0.281411890885543
0.1,100,FALSE,34,"point",125,0.00299232892008943,0.00419428556276629,53.8719721169432,0,0.229273285568066
0.1,100,FALSE,34,"safeguard",125,1.00307210429591,1.00414732478198,53.8719721169432,0.48,0.993418773813647
0.1,100,FALSE,34,"original_size",125,-0.19937811264207,0.00420130732158093,53.8719721169432,0.096,0.153310104529617
0.1,100,FALSE,34,"capped_safeguard",125,-0.00705162428297068,-0.0402422279460478,53.8719721169432,0.112,0.37821482602118
0.1,100,FALSE,35,"point",117,-0.00209268297501261,0.00964921183504117,58.6144909646342,0,0.30253807106599
0.1,100,FALSE,35,"safeguard",117,0.997870242975517,1.00986637034315,58.6144909646342,0.606837606837607,1.0371318822023
0.1,100,FALSE,35,"original_size",117,-0.394792260692789,0.0103714939969213,58.6144909646342,0.136752136752137,0.257620452310718
0.1,100,FALSE,35,"capped_safeguard",117,-0.0152941243042971,-0.119833494560047,58.6144909646342,0.170940170940171,0.462107208872458
0.1,100,FALSE,36,"point",118,-0.00682212057629973,0.00283481868806747,57.2268966059641,0,0.24566600809688
0.1,100,FALSE,36,"safeguard",118,0.993197629831051,1.00283124276406,57.2268966059641,0.466101694915254,0.990990115738785
0.1,100,FALSE,36,"original_size",118,-0.242356668352198,0.00308997302413549,57.2268966059641,0.11864406779661,0.191763853002303
0.1,100,FALSE,36,"capped_safeguard",118,-0.00663874865248557,-0.0397388051709864,57.2268966059641,0.11864406779661,0.423370025402202
0.1,100,FALSE,37,"point",120,-0.0192590020870711,-0.0318340753662469,60.0080260766626,0,0.250081427920005
0.1,100,FALSE,37,"safeguard",120,0.98076585010711,0.968286673990241,60.0080260766626,0.491666666666667,0.997288598851259
0.1,100,FALSE,37,"original_size",120,-0.288694422844858,-0.0315011775888991,60.0080260766626,0.05,0.175765714753403
0.1,100,FALSE,37,"capped_safeguard",120,-0.0131894971661474,-0.0920352046116366,60.0080260766626,0.108333333333333,0.365324439591242
0.1,100,FALSE,38,"point",135,0.000538114680318909,-0.0186623170802321,62.8875703138986,0,0.241509433962264
0.1,100,FALSE,38,"safeguard",135,1.00074448919568,0.981679768381526,62.8875703138986,0.422222222222222,0.977073406532698
0.1,100,FALSE,38,"original_size",135,-0.432244794334085,-0.0179281338617506,62.8875703138986,0.0888888888888889,0.172330097087379
0.1,100,FALSE,38,"capped_safeguard",135,-0.010090698629682,-0.128665850369022,62.8875703138986,0.0740740740740741,0.357653791130186
0.1,100,FALSE,39,"point",115,0.0130701254357262,0.0698915765222028,56.5108383889405,0,0.241489361702128
0.1,100,FALSE,39,"safeguard",115,1.01307016655679,1.06947933243638,56.5108383889405,0.48695652173913,0.98989898989899
0.1,100,FALSE,39,"original_size",115,-0.523891003825873,0.069030766300049,56.5108383889405,0.0956521739130435,0.170658682634731
0.1,100,FALSE,39,"capped_safeguard",115,0.0270531684365921,-0.23708347349013,56.5108383889405,0.130434782608696,0.411861614497529
0.1,100,FALSE,40,"point",127,0.00487084114222951,0.010825955492759,62.4340972361654,0,0.270668176670442
0.1,100,FALSE,40,"safeguard",127,1.00472599670838,1.0102958912845,62.4340972361654,0.448818897637795,0.990533562822719
0.1,100,FALSE,40,"original_size",127,-0.458698305360204,0.0104175156070571,62.4340972361654,0.102362204724409,0.22083805209513
0.1,100,FALSE,40,"capped_safeguard",127,-0.0272856359528719,-0.213519586071624,62.4340972361654,0.0866141732283465,0.419111483654652
0.1,100,FALSE,41,"point",116,-0.0121038727031716,0.00413313928746458,60.6937404138453,0,0.255103329324282
0.1,100,FALSE,41,"safeguard",116,0.987912175296668,1.0043241366008,60.6937404138453,0.525862068965517,1.01284058009627
0.1,100,FALSE,41,"original_size",116,-0.35564252348208,0.00371772301486622,60.6937404138453,0.112068965517241,0.17799039084242
0.1,100,FALSE,41,"capped_safeguard",116,0.00316286149278533,-0.0796309111394913,60.6937404138453,0.155172413793103,0.471262530744164
0.1,100,FALSE,42,"point",133,0.00056498637784177,-0.00342561852183669,60.109388600684,0,0.211521152115212
0.1,100,FALSE,42,"safeguard",133,1.00059271694687,0.996771370761101,60.109388600684,0.488721804511278,0.992673992673993
0.1,100,FALSE,42,"original_size",133,-0.240090276455665,-0.00330125311888557,60.109388600684,0.0451127819548872,0.132505175983437
0.1,100,FALSE,42,"capped_safeguard",133,-0.0163840430033797,-0.0627973331329849,60.109388600684,0.0902255639097744,0.307881773399015
0.1,100,FALSE,43,"point",124,-0.0117451905493775,-0.010927322449354,58.346593344083,0,0.258146883328818
0.1,100,FALSE,43,"safeguard",124,0.988206939859001,0.98905689122118,58.346593344083,0.516129032258065,1.00505053289737
0.1,100,FALSE,43,"original_size",124,-0.331772656766436,-0.01080353165567,58.346593344083,0.0887096774193548,0.175952832307113
0.1,100,FALSE,43,"capped_safeguard",124,-0.0280459197368837,-0.105969772655968,58.346593344083,0.104838709677419,0.344115785843934
0.1,100,FALSE,44,"point",117,0.011094824116683,0.0129838925568784,63.5835939498078,0,0.20709219858156
0.1,100,FALSE,44,"safeguard",117,1.01096631463734,1.013033604505,63.5835939498078,0.555555555555556,1.01895214400702
0.1,100,FALSE,44,"original_size",117,-0.343881815691937,0.0130515370194079,63.5835939498078,0.0598290598290598,0.134423897581792
0.1,100,FALSE,44,"capped_safeguard",117,0.000432144261260885,-0.0374430735840055,63.5835939498078,0.111111111111111,0.357142857142857
0.1,100,FALSE,45,"point",127,0.00814898401027372,0.0102607657152313,57.2705924985385,0,0.221757322175732
0.1,100,FALSE,45,"safeguard",127,1.00809883846278,1.01024468019701,57.2705924985385,0.519685039370079,1.00698045333364
0.1,100,FALSE,45,"original_size",127,-0.301199732321897,0.0100052929009195,57.2705924985385,0.0708661417322835,0.156739811912226
0.1,100,FALSE,45,"capped_safeguard",127,0.0032993323573483,-0.0766393433519167,57.2705924985385,0.118110236220472,0.329380764163373
0.1,100,FALSE,46,"point",110,0.000385248784744187,0.0155669498321674,63.848718191551,0,0.241944478490011
0.1,100,FALSE,46,"safeguard",110,1.00055874407201,1.01561542595822,63.848718191551,0.554545454545455,1.01844297127316
0.1,100,FALSE,46,"original_size",110,-0.273885597750828,0.015463273618453,63.848718191551,0.127272727272727,0.176623944217735
0.1,100,FALSE,46,"capped_safeguard",110,-0.0350480119172647,-0.093215185514366,63.848718191551,0.163636363636364,0.364581838056017
0.1,100,FALSE,47,"point",125,-0.0133952725956902,-0.0124361448737296,58.1329553842358,0,0.257343550446999
0.1,100,FALSE,47,"safeguard",125,0.986620884012874,0.988015373544146,58.1329553842358,0.552,1.02358749314317
0.1,100,FALSE,47,"original_size",125,-0.4845338994737,-0.0117430616027373,58.1329553842358,0.088,0.18007662835249
0.1,100,FALSE,47,"capped_safeguard",125,-0.0407386015968717,-0.202210827214227,58.1329553842358,0.104,0.379939209726444
0.1,100,FALSE,48,"point",123,-0.00190304135248718,-0.0163879244930768,70.9861213528813,0,0.216509775524982
0.1,100,FALSE,48,"safeguard",123,0.998050345857577,0.98349800674814,70.9861213528813,0.552845528455285,1.01216545012165
0.1,100,FALSE,48,"original_size",123,-0.386595704976229,-0.016462933645403,70.9861213528813,0.0650406504065041,0.127450980392157
